spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,,
8,28,112,20,0,396,0.5703125,0.8515625,3,0,78,873,25,3.8125,0.828125,39,2,122,51,1,111,55,239,177,9,1,0,1,1,2,203574,bayes,application_1540980293743_2297,bigdata,,
3,23,219,46,1,520,0.7578125,0.7890625,51,1,63,760,396,3.3125,0.453125,55,1,43,35,1,36,39,71,357,3,1,0,1,1,1,387910,bayes,application_1540980293743_2298,bigdata,,
10,42,76,25,0,25,0.5078125,0.5390625,114,0,126,310,891,1.3125,0.953125,118,2,106,98,0,96,102,296,117,8,0,1,0,0,2,207481,bayes,application_1540980293743_2299,bigdata,,
6,13,290,15,1,272,0.6328125,0.9140625,82,0,94,985,644,2.3125,0.203125,86,1,74,3,1,126,70,183,477,1,0,0,1,0,2,171564,bayes,application_1540980293743_2300,bigdata,,
14,32,148,36,0,767,0.8828125,0.6640625,19,1,31,535,149,4.3125,0.703125,23,3,11,66,0,66,7,408,237,6,1,1,0,1,1,180119,bayes,application_1540980293743_2301,bigdata,,
2,35,201,12,1,953,0.7890625,0.8203125,122,0,118,254,334,4.5625,0.015625,31,2,19,74,1,103,78,211,87,5,1,1,0,0,1,622222,bayes,application_1540980293743_2302,bigdata,,
9,16,59,33,0,458,0.5390625,0.5703125,59,1,55,704,829,2.5625,0.515625,94,3,82,11,0,43,15,436,327,1,0,0,1,1,2,165567,bayes,application_1540980293743_2303,bigdata,,
5,25,272,44,1,211,0.6640625,0.9453125,27,1,23,479,582,1.5625,0.265625,126,1,114,106,1,13,47,99,207,7,0,1,0,1,2,263529,bayes,application_1540980293743_2304,bigdata,,
13,6,130,23,0,706,0.9140625,0.6953125,90,0,86,929,87,3.5625,0.765625,63,3,51,43,0,73,110,324,447,3,1,0,1,0,1,159015,bayes,application_1540980293743_2305,bigdata,,
7,40,165,49,1,334,0.7265625,0.6328125,106,1,39,592,458,3.0625,0.390625,47,3,98,59,0,58,126,492,27,9,1,0,1,0,2,238256,bayes,application_1540980293743_2306,bigdata,,
15,21,23,28,0,829,0.9765625,0.8828125,43,0,102,142,953,1.0625,0.890625,110,1,35,122,1,118,63,267,267,4,0,1,0,1,1,158495,bayes,application_1540980293743_2307,bigdata,,
4,30,237,17,1,582,0.8515625,0.5078125,11,0,70,817,706,2.0625,0.140625,78,2,3,27,0,88,31,380,147,6,0,0,1,1,1,324959,bayes,application_1540980293743_2308,bigdata,,
11,11,94,38,0,87,0.6015625,0.7578125,74,1,7,367,211,4.0625,0.640625,15,1,66,90,1,28,94,155,387,2,1,1,0,0,2,167941,bayes,application_1540980293743_2309,bigdata,,
4,24,121,24,1,984,0.6171875,0.5234375,102,1,98,845,798,3.6875,0.609375,11,3,126,126,1,39,3,253,492,4,0,0,0,1,1,314700,bayes,application_1540980293743_2310,bigdata,,
12,5,263,45,0,489,0.8671875,0.7734375,39,0,35,395,303,1.6875,0.109375,74,1,63,63,0,99,66,478,252,8,1,1,1,0,2,181998,bayes,application_1540980293743_2311,bigdata,,
8,34,50,34,1,242,0.9921875,0.6484375,7,0,3,620,56,2.6875,0.859375,106,2,31,94,1,69,98,141,372,1,1,0,0,0,2,210460,bayes,application_1540980293743_2312,bigdata,,
15,15,192,13,0,737,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,9,35,366,132,6,0,1,1,1,1,152231,bayes,application_1540980293743_2313,bigdata,,
6,29,157,29,1,365,0.9296875,0.9609375,118,0,51,507,922,4.1875,0.984375,59,2,15,15,0,114,51,422,432,3,0,1,1,1,2,235721,bayes,application_1540980293743_2314,bigdata,,
13,10,299,8,0,860,0.6796875,0.7109375,55,1,114,957,427,2.1875,0.484375,122,3,78,78,1,54,114,197,192,7,1,0,0,0,1,178526,bayes,application_1540980293743_2315,bigdata,,
2,38,85,19,1,613,0.5546875,0.8359375,23,1,82,282,180,1.1875,0.734375,90,1,110,47,0,24,82,310,312,5,1,1,1,0,1,628753,bayes,application_1540980293743_2316,bigdata,,
10,19,228,40,0,118,0.8046875,0.5859375,86,0,19,732,675,3.1875,0.234375,27,3,47,110,1,84,19,85,72,9,0,0,0,1,2,181334,bayes,application_1540980293743_2317,bigdata,,
7,7,139,27,1,180,0.8984375,0.9296875,63,1,122,901,860,3.9375,0.546875,19,1,55,102,0,17,90,282,162,9,0,0,0,0,2,164891,bayes,application_1540980293743_2318,bigdata,,
14,26,281,48,0,675,0.6484375,0.6796875,126,0,59,451,365,1.9375,0.046875,82,2,118,39,1,77,27,57,402,4,1,1,1,1,1,173221,bayes,application_1540980293743_2319,bigdata,,
3,17,67,37,1,922,0.5234375,0.8046875,94,0,27,676,118,2.9375,0.796875,114,2,86,70,0,107,59,394,42,7,1,0,0,1,1,244041,bayes,application_1540980293743_2320,bigdata,,
11,36,210,16,0,427,0.7734375,0.5546875,31,1,90,226,613,4.9375,0.296875,51,3,23,7,1,47,122,169,282,2,0,1,1,0,2,197820,bayes,application_1540980293743_2321,bigdata,,
1,12,103,32,1,551,0.5859375,0.6171875,47,0,43,339,984,4.4375,0.921875,35,3,70,23,1,92,106,113,222,5,0,1,1,0,1,417244,bayes,application_1540980293743_2322,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,49,84,204,455,9,0,0,1,1,1,160286,bayes,application_1546585828047_0004,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,9,35,366,132,6,0,1,1,1,1,159630,bayes,application_1546585828047_0005,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,49,84,204,455,9,0,0,1,1,1,160286,bayes,application_1546585828047_0004,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,9,35,366,132,6,0,1,1,1,1,159630,bayes,application_1546585828047_0005,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,49,84,204,455,9,0,0,1,1,1,160286,bayes,application_1546585828047_0004,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,9,35,366,132,6,0,1,1,1,1,159630,bayes,application_1546585828047_0005,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,156237,bayes,application_1546585828047_0006,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,154848,bayes,application_1546585828047_0007,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,156237,bayes,application_1546585828047_0006,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,154848,bayes,application_1546585828047_0007,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,165698,bayes,application_1546585828047_0008,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,161134,bayes,application_1546585828047_0009,bigdata,,
15,15,192,13,0,737,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,156237,bayes,application_1546585828047_0006,bigdata,,
15,18,99,46,1,350,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,154848,bayes,application_1546585828047_0007,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,162169,bayes,application_1546585828047_0010,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,163297,bayes,application_1546585828047_0011,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,1,1,1,1,164896,bayes,application_1546585828047_0012,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,0,1,1,1,163283,bayes,application_1546585828047_0013,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,162169,bayes,application_1546585828047_0010,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,163297,bayes,application_1546585828047_0011,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,163405,bayes,application_1546585828047_0014,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,164717,bayes,application_1546585828047_0015,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,76,3,100,108,0,9,35,366,132,6,0,1,1,1,1,163405,bayes,application_1546585828047_0014,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,43,1,94,31,0,49,84,204,455,9,0,0,1,1,1,164717,bayes,application_1546585828047_0015,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,166395,bayes,application_1546585828047_0016,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,40,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,163094,bayes,application_1546585828047_0017,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,165498,bayes,application_1546585828047_0018,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,167694,bayes,application_1546585828047_0019,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,163429,bayes,application_1546585828047_0020,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,163720,bayes,application_1546585828047_0021,bigdata,,
15,15,192,13,0,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,163429,bayes,application_1546585828047_0020,bigdata,,
15,18,99,46,1,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,163720,bayes,application_1546585828047_0021,bigdata,,
15,15,99,46,1,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,160725,bayes,application_1546585828047_0022,bigdata,,
15,18,192,13,0,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,167854,bayes,application_1546585828047_0023,bigdata,,
15,15,99,46,1,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,160725,bayes,application_1546585828047_0022,bigdata,,
15,18,192,13,0,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,167854,bayes,application_1546585828047_0023,bigdata,,
15,15,99,46,1,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,159761,bayes,application_1546585828047_0024,bigdata,,
15,18,192,13,0,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,162643,bayes,application_1546585828047_0025,bigdata,,
15,15,99,46,1,737,0.921875,0.8984375,70,0,76,353,498,4.6875,0.359375,76,3,100,108,0,9,84,204,455,9,0,0,1,1,1,159761,bayes,application_1546585828047_0024,bigdata,,
15,18,192,13,0,350,0.7421875,0.984375,5,1,66,170,828,4.375,0.03125,43,1,94,31,0,49,35,366,132,6,0,1,1,1,1,162643,bayes,application_1546585828047_0025,bigdata,,
