spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
15,15,192,13,0,737,0.7421875,0.8984375,70,1,66,170,551,4.6875,0.359375,43,1,94,31,0,9,35,366,132,6,0,1,1,1,1,487228,terasort,application_1540980293743_2362,huge
6,29,157,29,1,365,0.9296875,0.9609375,118,0,51,507,922,4.1875,0.984375,59,2,15,15,0,114,51,422,432,3,0,1,1,1,2,628665,terasort,application_1540980293743_2362,huge
13,10,299,8,0,860,0.6796875,0.7109375,55,1,114,957,427,2.1875,0.484375,122,3,78,78,1,54,114,197,192,7,1,0,0,0,1,536748,terasort,application_1540980293743_2362,huge
2,38,85,19,1,613,0.5546875,0.8359375,23,1,82,282,180,1.1875,0.734375,90,1,110,47,0,24,82,310,312,5,1,1,1,0,1,541798,terasort,application_1540980293743_2362,huge
10,19,228,40,0,118,0.8046875,0.5859375,86,0,19,732,675,3.1875,0.234375,27,3,47,110,1,84,19,85,72,9,0,0,0,1,2,559311,terasort,application_1540980293743_2362,huge
7,7,139,27,1,180,0.8984375,0.9296875,63,1,122,901,860,3.9375,0.546875,19,1,55,102,0,17,90,282,162,9,0,0,0,0,2,685929,terasort,application_1540980293743_2362,huge
14,26,281,48,0,675,0.6484375,0.6796875,126,0,59,451,365,1.9375,0.046875,82,2,118,39,1,77,27,57,402,4,1,1,1,1,1,506360,terasort,application_1540980293743_2362,huge
3,17,67,37,1,922,0.5234375,0.8046875,94,0,27,676,118,2.9375,0.796875,114,2,86,70,0,107,59,394,42,7,1,0,0,1,1,505776,terasort,application_1540980293743_2362,huge
11,36,210,16,0,427,0.7734375,0.5546875,31,1,90,226,613,4.9375,0.296875,51,3,23,7,1,47,122,169,282,2,0,1,1,0,2,472776,terasort,application_1540980293743_2362,huge
1,12,103,32,1,551,0.5859375,0.6171875,47,0,43,339,984,4.4375,0.921875,35,3,70,23,1,92,106,113,222,5,0,1,1,0,1,537749,terasort,application_1540980293743_2362,huge
9,31,246,11,0,56,0.8359375,0.8671875,110,1,106,789,489,2.4375,0.421875,98,1,7,86,0,32,43,338,462,1,1,0,0,1,2,472168,terasort,application_1540980293743_2362,huge
5,22,32,21,1,303,0.9609375,0.7421875,78,1,74,114,242,1.4375,0.671875,66,3,39,55,1,62,11,225,102,8,1,1,1,1,2,466469,terasort,application_1540980293743_2362,huge
12,41,174,42,0,798,0.7109375,0.9921875,15,0,11,564,737,3.4375,0.171875,3,2,102,118,0,122,74,450,342,3,0,0,0,0,1,544131,terasort,application_1540980293743_2362,huge
6,27,88,23,0,574,0.58984375,0.94921875,44,0,89,557,404,3.65625,0.8828125,4,3,28,111,1,61,44,362,406,7,1,1,1,0,2,467993,terasort,application_1540980293743_2362,huge
14,8,230,44,1,79,0.83984375,0.69921875,107,1,26,107,899,1.65625,0.3828125,67,2,91,48,0,121,107,137,166,2,0,0,0,1,1,523617,terasort,application_1540980293743_2362,huge
3,37,159,33,0,327,0.96484375,0.82421875,75,1,58,782,651,2.65625,0.6328125,99,3,123,79,1,91,75,475,286,9,0,1,1,1,1,588612,terasort,application_1540980293743_2362,huge
10,18,301,12,1,822,0.71484375,0.57421875,12,0,121,332,156,4.65625,0.1328125,36,1,60,16,0,31,12,250,46,4,1,0,0,0,2,754348,terasort,application_1540980293743_2362,huge
1,32,52,39,0,203,0.90234375,0.51171875,60,1,10,219,280,4.15625,0.5078125,52,1,107,32,0,106,28,81,466,8,1,0,0,0,1,704685,terasort,application_1540980293743_2362,huge
8,13,194,18,1,698,0.65234375,0.76171875,123,0,73,669,775,2.15625,0.0078125,115,3,44,95,1,46,91,306,226,3,0,1,1,1,2,798554,terasort,application_1540980293743_2362,huge
5,42,123,28,0,945,0.52734375,0.63671875,91,0,105,444,528,1.15625,0.7578125,83,1,12,64,0,16,123,194,346,5,0,0,0,1,2,549856,terasort,application_1540980293743_2362,huge
12,23,266,49,1,450,0.77734375,0.88671875,28,1,42,894,33,3.15625,0.2578125,20,2,75,127,1,76,60,419,106,1,1,1,1,0,1,492314,terasort,application_1540980293743_2362,huge
4,6,34,20,0,265,0.93359375,0.60546875,115,0,65,725,466,3.90625,0.9453125,28,1,83,119,0,23,115,166,256,2,1,1,1,1,1,1327905,terasort,application_1540980293743_2362,huge
